Company Name,Company Type,Registered,Address,City,State,Country,NACE
ATHLONE DENTAL EXCELLENCE LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"10 Anglesea Street, Temple Bar ,Dublin 2",Dublin,Leinster,Ireland,[8623] Dental Practice Activities
SHANNON DENTAL EXCELLENCE LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"10 Anglesea Street, Temple Bar ,Dublin 2",Dublin,Leinster,Ireland,[8623] Dental Practice Activities
BLACKWATER VALLEY FESTIVAL OPERA COMPANY LIMITED BY GUARANTEE,Clg - Company Limited By Guarantee,02/01/2018,"Castleview House, Sandymount Green ,Dublin 4",Dublin,Leinster,Ireland,[9001] Performing Arts
PHENIX CONSOLIDATED LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"The Old Station House, 15a Main Street ,Blackrock, Co. Dublin",Dublin,Leinster,Ireland,[7010] Activities Of Head Offices
IXD CONSULTING LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"The Black Church, St. Mary'S Place ,Dublin, D07 P4ax",Dublin,Leinster,Ireland,[8690] Other Human Health Activities
DP DIY LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"46 Carrickhill Rise, Portmarnock ,Co. Dublin, ",Dublin,Leinster,Ireland,[4339] Other Building Completion And Finishing
DS FANNING CONSTRUCTION LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"Glasnevin Business Centre, 278 Glasnevin Avenue , Dublin 11, ",Dublin,Leinster,Ireland,[4120] Construction Of Residential And Non-Residential Buildings
PARS ULTIMA LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"5 Oxmantown Green, Blackhall Street ,Dublin 7, ",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
EKSPERT ACCOUNTANCY AND TAX SERVICES LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"Unit 12 Keypoint,, Rosemount Business Park, ,Dublin 11, ",Dublin,Leinster,Ireland,"[6920] Accounting, Bookkeeping And Auditing Activities; Tax Consultancy"
COMMUNAL LIVING LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"3rd Floor, Longphort House, Earlsfort Centre ,Earlsfort Terrace, Dublin 2",Dublin,Leinster,Ireland,[6810] Buying And Selling Of Own Real Estate
ATTUROS INVESTMENT TRUST LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"45 Dale View Park, Killiney ,Co Dublin, ",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
LAUREL RIVER CONSULTING LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"12 Laurel Avenue, Dundrum ,Dublin 14, ",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
MEDIA PUBLISHER & CO. AG LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"Clifton House Office 70, Fitzwilliam Street Lower ,Dublin 2, ",Dublin,Leinster,Ireland,[8299] Other Business Support Service Activities N.E.C.
DAILY NEWS ADVERTISER LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"Clifton House Office 70, Fitzwilliam Street Lower ,Dublin 2, ",Dublin,Leinster,Ireland,[8299] Other Business Support Service Activities N.E.C.
KLIR TRADING COMPANY LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"Dit Greenway Hub, Grangegorman ,Dublin 7, ",Dublin,Leinster,Ireland,[5829] Other Software Publishing
PACIFIC EVENTS LIMITED,Ltd - Private Company Limited By Shares,02/01/2018,"18 Pineview Drive, Aylesbury ,Tallaght,Dublin 24",Dublin,Leinster,Ireland,[9609] Other Personal Service Activities N.E.C.
KILBREE MEDICAL LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"14 Obelisk Court, Saint Augustine'S Park ,Blackrock,Co. Dublin",Dublin,Leinster,Ireland,"[7490] Other Professional, Scientific And Technical Activities N.E.C."
MOBILITY HUB LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"54 Parnell Square West, Dublin 1 ",Dublin,Leinster,Ireland,[8560] Educational Support Activities
SCOPE ABOUT LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"Lfrk Accountantonline Limited, 8-9 Marino Mart ,Fairview, Clontarf, Dublin 3, D03 P9590",Dublin,Leinster,Ireland,[5829] Other Software Publishing
HERBERT STREET CAPITAL LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"58 Mountain View Road, Ranelagh ,Dublin 6, ",Dublin,Leinster,Ireland,"[6619] Other Activities Auxiliary To Financial Services, Except Insurance And Pension Funding"
